ROI_ID,ROI_Name,pIPS_Connectivity,LO_Connectivity,Difference,Abs_Difference,CI_Lower,CI_Upper,LOO_Reliability,Bootstrap_Significant,LOO_Significant,Combined_Significant,Direction
1,7Networks_LH_Vis_1,0.1703658852737209,0.1165466344408917,0.0538192508328292,0.0538192508328292,-0.0360787952976527,0.1183714641412883,0.7777777777777778,False,True,False,pIPS_clean > LO_clean
2,7Networks_LH_Vis_2,0.1582296927813934,0.1668988945898522,-0.0086692018084587,0.0086692018084587,-0.0560522318571336,0.037961177790726,0.5555555555555556,False,False,False,LO_clean > pIPS_clean
3,7Networks_LH_Vis_3,0.0459353247888187,0.1487657941526191,-0.1028304693638003,0.1028304693638003,-0.1406598160734296,-0.0653971613312895,0.8333333333333334,True,True,True,LO_clean > pIPS_clean
4,7Networks_LH_Vis_4,0.2002352546449959,-0.0466334672448762,0.2468687218898722,0.2468687218898722,0.1384054332861223,0.3375257057952351,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
5,7Networks_LH_Vis_5,0.0083685639216366,0.1761373732286626,-0.167768809307026,0.167768809307026,-0.2348674380475968,-0.1029762432790538,0.8888888888888888,True,True,True,LO_clean > pIPS_clean
6,7Networks_LH_Vis_6,0.1426495109834032,0.0148075136411915,0.1278419973422117,0.1278419973422117,0.0514660030328681,0.1887740558283467,0.8333333333333334,True,True,True,pIPS_clean > LO_clean
7,7Networks_LH_Vis_7,0.1346794751013977,-0.0184865732518854,0.1531660483532831,0.1531660483532831,0.0606156037978446,0.2401695516754412,0.7777777777777778,True,True,True,pIPS_clean > LO_clean
8,7Networks_LH_Vis_8,0.1891158187840657,0.1368594021630732,0.0522564166209924,0.0522564166209924,0.0045215981465743,0.1041452062518619,0.6666666666666666,True,False,False,pIPS_clean > LO_clean
9,7Networks_LH_Vis_9,0.0549306035785401,0.1843207122459494,-0.1293901086674092,0.1293901086674092,-0.2320367384302697,-0.033647873348006,0.6666666666666666,True,False,False,LO_clean > pIPS_clean
10,7Networks_LH_Vis_10,0.2261255592137076,-0.0375966158454674,0.263722175059175,0.263722175059175,0.1752037889504531,0.347787303085514,0.9444444444444444,True,True,True,pIPS_clean > LO_clean
11,7Networks_LH_Vis_11,0.1709496527324149,0.2057176039370111,-0.0347679512045962,0.0347679512045962,-0.1080741794851325,0.0462607971796417,0.6666666666666666,False,False,False,LO_clean > pIPS_clean
12,7Networks_LH_Vis_12,0.2276952137608326,-0.0158697341531221,0.2435649479139547,0.2435649479139547,0.1812342713099803,0.3053672236173836,1.0,True,True,True,pIPS_clean > LO_clean
13,7Networks_LH_Vis_13,0.273025973957314,-0.1329532246615448,0.4059791986188588,0.4059791986188588,0.3362869242556034,0.477424447192108,1.0,True,True,True,pIPS_clean > LO_clean
14,7Networks_LH_Vis_14,0.268732128901116,-0.1110844402926568,0.3798165691937728,0.3798165691937728,0.2998336955823458,0.4589538144578675,1.0,True,True,True,pIPS_clean > LO_clean
15,7Networks_LH_SomMot_1,0.0717064337356193,0.0401575790009403,0.0315488547346789,0.0315488547346789,0.0066969209559437,0.058678194945504,0.7222222222222222,True,False,False,pIPS_clean > LO_clean
16,7Networks_LH_SomMot_2,0.0998239766443724,0.0518262949969065,0.0479976816474658,0.0479976816474658,0.0087044228645792,0.0921355653176451,0.6111111111111112,True,False,False,pIPS_clean > LO_clean
