left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS
52338.444444444445,74036.55555555556,16038.055555555555,10510.194444444445,28731.027777777777,31117.055555555555,49790.194444444445,71130.02777777778,15749.861111111111,7151.361111111111,25721.694444444445,32759.416666666668
50979.97222222222,75308.05555555556,15941.805555555555,10611.694444444445,28552.305555555555,30175.777777777777,49410.02777777778,71590.83333333333,15704.75,7199.333333333333,26214.277777777777,32932.22222222222
52444.02777777778,73962.25,15915.055555555555,10574.472222222223,29432.472222222223,30952.916666666668,49410.52777777778,70014.36111111111,15653.583333333334,7279.638888888889,26693.75,32350.36111111111
51299.02777777778,73644.55555555556,16191.472222222223,10582.444444444445,29102.777777777777,31283.527777777777,50406.72222222222,70674.75,15946.027777777777,7067.472222222223,25980.75,33023.666666666664
52503.5,76519.66666666667,15832.333333333334,10433.444444444445,29278.11111111111,30210.277777777777,48680.944444444445,69520.33333333333,15857.5,7270.666666666667,26251.083333333332,32348.36111111111
51213.583333333336,76354.05555555556,15650.305555555555,10539.694444444445,28803.75,30369.805555555555,49869.61111111111,71361.97222222222,15872.972222222223,6984.5,25925.777777777777,33606.52777777778
53152.083333333336,73846.55555555556,15893.277777777777,10653.055555555555,28671.5,30030.972222222223,50512.194444444445,69289.69444444444,15859.611111111111,7462.277777777777,26077.75,31729.444444444445
51404.22222222222,74677.44444444444,15849.75,10461.75,28484.722222222223,30398.11111111111,49679.36111111111,70085.86111111111,15264.777777777777,7176.5,26106.0,32387.833333333332
50520.305555555555,73353.22222222222,15545.416666666666,10644.555555555555,30182.194444444445,31015.055555555555,49633.555555555555,71383.72222222222,15920.555555555555,7011.222222222223,26634.61111111111,33363.944444444445
51302.444444444445,71703.08333333333,15720.194444444445,10595.5,28488.777777777777,29858.527777777777,48842.75,70981.69444444444,16093.138888888889,7296.555555555556,26330.38888888889,32699.472222222223
