Subject,Analysis,Condition,Dice
sub-spaceloc1001,ppi,tools,0.5877832937621411
sub-spaceloc1002,ppi,tools,0.6681471611518247
sub-spaceloc1003,ppi,tools,0.778963137974387
sub-spaceloc1004,ppi,tools,0.8338866184360768
sub-spaceloc1005,ppi,tools,0.8411784873967175
sub-spaceloc1006,ppi,tools,0.6022204879604892
sub-spaceloc1007,ppi,tools,0.7600722481251353
sub-spaceloc1008,ppi,tools,0.42590001626885443
sub-spaceloc1009,ppi,tools,0.6648951553076184
sub-spaceloc1010,ppi,tools,0.7200172847889448
sub-spaceloc1011,ppi,tools,0.5213226956792809
sub-spaceloc1012,ppi,tools,0.8532546751656888
sub-spaceloc2013,ppi,tools,0.8543197651421175
sub-spaceloc2014,ppi,tools,0.4715418464516198
sub-spaceloc2015,ppi,tools,0.548444484067967
sub-spaceloc2016,ppi,tools,0.632469256752923
sub-spaceloc2017,ppi,tools,0.6149188089240439
sub-spaceloc2018,ppi,tools,0.7929165309798717
