Subject,Analysis,Condition,Dice
sub-spaceloc1001,ppi,nontools,0.5127635562402594
sub-spaceloc1002,ppi,nontools,0.6547735552426712
sub-spaceloc1003,ppi,nontools,0.6056530419249764
sub-spaceloc1004,ppi,nontools,0.7400430006030573
sub-spaceloc1005,ppi,nontools,0.8478048303510316
sub-spaceloc1006,ppi,nontools,0.7303567628909852
sub-spaceloc1007,ppi,nontools,0.7691346176630885
sub-spaceloc1008,ppi,nontools,0.5851050286441757
sub-spaceloc1009,ppi,nontools,0.5826420148059968
sub-spaceloc1010,ppi,nontools,0.5000968622176466
sub-spaceloc1011,ppi,nontools,0.47421539842247984
sub-spaceloc1012,ppi,nontools,0.7504684072271234
sub-spaceloc2013,ppi,nontools,0.5788531195311546
sub-spaceloc2014,ppi,nontools,0.8285438893507254
sub-spaceloc2015,ppi,nontools,0.735535369338591
sub-spaceloc2016,ppi,nontools,0.7417934787731774
sub-spaceloc2017,ppi,nontools,0.5411839883941332
sub-spaceloc2018,ppi,nontools,0.6776562930507302
